experiment,MT,ID
e_11,1354,5
e_11,1939,4
e_11,892,2
e_11,1585,4
e_11,1318,4
e_11,1840,5
e_11,1551,6
e_11,910,3
e_11,1328,3
e_12,1611,4
e_12,1881,5
e_12,1276,4
e_12,949,2
e_12,1440,3
e_12,1586,3
e_12,1080,3
e_12,1870,2
e_12,1390,2
e_2,636,3
e_2,385,2
e_2,775,4
e_2,620,3
e_2,656,4
e_2,757,5
e_2,618,3
e_2,595,3
e_2,729,4
e_2,533,3
e_2,1025,5
e_2,735,4
e_3,672,4
e_3,652,4
e_3,604,3
e_3,1000,6
e_3,519,3
e_3,791,4
e_3,1109,6
e_3,898,5
e_3,739,5
e_3,1096,5
e_3,704,4
e_3,826,5
e_4,2379,4
e_4,2447,5
e_4,1134,3
e_4,2794,5
e_4,1543,4
e_4,997,3
e_4,1025,3
e_4,1372,4
e_4,944,2
e_4,1038,4
e_4,1079,3
e_4,1878,3
e_5,1478,5
e_5,1150,3
e_5,625,3
e_5,886,4
e_5,852,3
e_5,943,4
e_5,817,3
e_5,942,4
e_5,464,2
e_5,680,3
e_5,1277,5
e_5,1014,4
